PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;27;12;28079027_12_8;2018;12;16;00020;V;00022;V;00018;V;00015;V;00015;V;00015;V;00018;V;00024;V;00025;V;00030;V;00037;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;27;14;28079027_14_6;2018;12;16;46.97;V;43.07;V;44.01;V;41.13;V;45.03;V;44.16;V;40.41;V;33.93;V;36.35;V;31.57;V;27.72;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;1;28079036_1_38;2018;12;16;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;6;28079036_6_48;2018;12;16;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;7;28079036_7_8;2018;12;16;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00002;V;00002;V;00003;V;00004;V;00004;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;8;28079036_8_8;2018;12;16;00019;V;00015;V;00013;V;00011;V;00010;V;00008;V;00012;V;00012;V;00017;V;00020;V;00026;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;10;28079036_10_47;2018;12;16;00012;V;00013;V;00011;V;00011;V;00010;V;00010;V;00011;V;00012;V;00010;V;00007;V;00009;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;36;12;28079036_12_8;2018;12;16;00022;V;00018;V;00015;V;00013;V;00013;V;00010;V;00015;V;00016;V;00022;V;00026;V;00032;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;1;28079038_1_38;2018;12;16;00009;V;00009;V;00009;V;00009;V;00008;V;00009;V;00009;V;00008;V;00009;V;00009;V;00009;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;38;7;28079038_7_8;2018;12;16;00002;V;00003;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00002;V;00005;V;00008;V;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
